Chromosome	TPM	Gene	Species	Sex	Tissue	Stage	Sample	log2_TPM	Z_score	p_value	p_adj	Expression_Status_BH	Expression_Status	Type
SUPER_GRC2	1.184688	g9343	B_coprophila	female	germ_ovaries	adult	B10	0.244508378072736	3.54780549858447	0.00019422748365993	0.00022987845493674	Active	Expressed	Gene
SUPER_GRC2	1.545126	g13059	B_coprophila	female	germ_ovaries	adult	B10	0.627725423721955	4.19306294021173	1.37606521846134e-05	1.68618484091823e-05	Active	Expressed	Gene
SUPER_GRC2	9.215041	g13065	B_coprophila	female	germ_ovaries	adult	B10	3.20399074133658	8.5309554913659	0	0	Active	Expressed	Gene
SUPER_GRC2	8.808496	g14637	B_coprophila	female	germ_ovaries	adult	B10	3.13889587208198	8.42134933142298	0	0	Active	Expressed	Gene
SUPER_GRC2	1.063183	g17249	B_coprophila	female	germ_ovaries	adult	B10	0.0883912985770411	3.28493695332169	0.00051002597059102	0.00059580656404734	Active	Expressed	Gene
SUPER_GRC2	2.878515	g18509	B_coprophila	female	germ_ovaries	adult	B10	1.52532523138125	5.70443348614908	5.83653314567556e-09	7.89993594572122e-09	Active	Expressed	Gene
SUPER_GRC2	3.146637	g19121	B_coprophila	female	germ_ovaries	adult	B10	1.65381121560974	5.92077703978142	1.60212010325012e-09	2.20494413644375e-09	Active	Expressed	Gene
SUPER_GRC1	29.170891	g6396	B_coprophila	female	germ_ovaries	adult	B10	4.86645759714336	11.3302023472845	0	0	Active	Expressed	Gene
SUPER_GRC1	0.739276	g7428	B_coprophila	female	germ_ovaries	adult	B10	-0.435813065226544	2.40228632355987	0.00814647504506338	0.00914513544907234	Active	Expressed	Gene
SUPER_GRC2	0.808978	g9343	B_coprophila	female	germ_ovaries	adult	B11	-0.305825842156812	2.62115764975599	0.00438158639536024	0.00496506725192838	Active	Expressed	Gene
SUPER_GRC2	1.310693	g13059	B_coprophila	female	germ_ovaries	adult	B11	0.390330907366242	3.79334017208559	7.43171571684353e-05	8.91015703776848e-05	Active	Expressed	Gene
SUPER_GRC2	9.373866	g13065	B_coprophila	female	germ_ovaries	adult	B11	3.2286443254547	8.57246697629489	0	0	Active	Expressed	Gene
SUPER_GRC2	9.837774	g14637	B_coprophila	female	germ_ovaries	adult	B11	3.29833205952391	8.68980656102585	0	0	Active	Expressed	Gene
SUPER_GRC2	8.178294	g17249	B_coprophila	female	germ_ovaries	adult	B11	3.03180010338288	8.2410224318123	1.11022302462516e-16	1.89095172217703e-16	Active	Expressed	Gene
SUPER_GRC2	3.441817	g18509	B_coprophila	female	germ_ovaries	adult	B11	1.78317081107958	6.13859157222581	4.16281564774579e-10	5.82820747961787e-10	Active	Expressed	Gene
SUPER_GRC2	1.842469	g19121	B_coprophila	female	germ_ovaries	adult	B11	0.881641128843501	4.62060393854635	1.91312297814772e-06	2.40419203315372e-06	Active	Expressed	Gene
SUPER_GRC1	28.727264	g6396	B_coprophila	female	germ_ovaries	adult	B11	4.84434874147305	11.2929756534067	0	0	Active	Expressed	Gene
SUPER_GRC2	0.980307	g9343	B_coprophila	female	germ_ovaries	adult	B12	-0.0286929984546381	3.08779145884245	0.00100824961806911	0.00116692034621911	Active	Expressed	Gene
SUPER_GRC2	1.863138	g13059	B_coprophila	female	germ_ovaries	adult	B12	0.897735310956967	4.64770317876419	1.67825712082958e-06	2.11296637573122e-06	Active	Expressed	Gene
SUPER_GRC2	9.569117	g13065	B_coprophila	female	germ_ovaries	adult	B12	3.25838595546716	8.62254566749495	0	0	Active	Expressed	Gene
SUPER_GRC2	8.462019	g14637	B_coprophila	female	germ_ovaries	adult	B12	3.0810020955107	8.32386830707753	0	0	Active	Expressed	Gene
SUPER_GRC2	0.831953	g17249	B_coprophila	female	germ_ovaries	adult	B12	-0.265424333115381	2.68918535013605	0.00358133182803277	0.00407004200027377	Active	Expressed	Gene
SUPER_GRC2	2.981535	g18509	B_coprophila	female	germ_ovaries	adult	B12	1.57605575641928	5.78985309148784	3.52240070444765e-09	4.79818370042387e-09	Active	Expressed	Gene
SUPER_GRC2	4.517549	g19121	B_coprophila	female	germ_ovaries	adult	B12	2.17554056884922	6.79926026884244	5.25790522232228e-12	7.78863172192558e-12	Active	Expressed	Gene
SUPER_GRC1	28.958221	g6396	B_coprophila	female	germ_ovaries	adult	B12	4.85590112028747	11.3124274457608	0	0	Active	Expressed	Gene
SUPER_GRC2	12.694405	g13065	B_coprophila	female	soma_carcass	adult	B16	3.66612098448455	9.30908627071855	0	0	Active	Expressed	Gene
SUPER_GRC2	5.992703	g14257	B_coprophila	female	soma_carcass	adult	B16	2.58320711606113	7.48568556301309	3.56381590904675e-14	5.63696757178475e-14	Active	Expressed	Gene
SUPER_GRC2	22.080317	g14637	B_coprophila	female	soma_carcass	adult	B16	4.4646890447987	10.6537080442375	0	0	Active	Expressed	Gene
SUPER_GRC2	1.668721	g17249	B_coprophila	female	soma_carcass	adult	B16	0.738743629579189	4.37999440450536	5.93411782079389e-06	7.35036061596713e-06	Active	Expressed	Gene
SUPER_GRC2	1.541248	g18509	B_coprophila	female	soma_carcass	adult	B16	0.624099958572634	4.18695841434703	1.41358800321845e-05	1.73144350421725e-05	Active	Expressed	Gene
SUPER_GRC2	15.135594	g13065	B_coprophila	female	soma_carcass	adult	B17	3.91987348539317	9.73635246725587	0	0	Active	Expressed	Gene
SUPER_GRC2	8.010553	g14257	B_coprophila	female	soma_carcass	adult	B17	3.00190202108771	8.1906803076548	1.11022302462516e-16	1.89095172217703e-16	Active	Expressed	Gene
SUPER_GRC2	20.665649	g14637	B_coprophila	female	soma_carcass	adult	B17	4.36916283663169	10.4928618674038	0	0	Active	Expressed	Gene
SUPER_GRC2	2.438373	g17249	B_coprophila	female	soma_carcass	adult	B17	1.28591942479466	5.30132412548098	5.74828841193309e-08	7.55526312917832e-08	Active	Expressed	Gene
SUPER_GRC2	1.112706	g18509	B_coprophila	female	soma_carcass	adult	B17	0.154073749646245	3.39553247828045	0.00034247623458993	0.00040226460074375	Active	Expressed	Gene
SUPER_GRC2	10.999912	g13065	B_coprophila	female	soma_carcass	adult	B18	3.45942020818594	8.96104534818898	0	0	Active	Expressed	Gene
SUPER_GRC2	7.524332	g14257	B_coprophila	female	soma_carcass	adult	B18	2.91156369878371	8.0385694467404	4.44089209850063e-16	7.45080107218283e-16	Active	Expressed	Gene
SUPER_GRC2	25.004721	g14637	B_coprophila	female	soma_carcass	adult	B18	4.64412866028274	10.9558468674667	0	0	Active	Expressed	Gene
SUPER_GRC2	8.167829	g17249	B_coprophila	female	soma_carcass	adult	B18	3.0299528391945	8.23791202485693	1.11022302462516e-16	1.89095172217703e-16	Active	Expressed	Gene
SUPER_GRC2	1.110521	g18509	B_coprophila	female	soma_carcass	adult	B18	0.151237973683193	3.39075762402039	0.00034849856030494	0.00040924219872192	Active	Expressed	Gene
SUPER_GRC2	0.808692	g9343	B_coprophila	female	germ_ovaries	adult	B19	-0.306335971263322	2.62029869891886	0.00439263899048148	0.00497734922639407	Active	Expressed	Gene
SUPER_GRC2	2.272229	g13059	B_coprophila	female	germ_ovaries	adult	B19	1.18410887492406	5.12989643016832	1.449508183482e-07	1.88282645695615e-07	Active	Expressed	Gene
SUPER_GRC2	0.674415	g13065	B_coprophila	female	germ_ovaries	adult	B19	-0.568289331373029	2.17922396884337	0.0146575170889358	0.0163036475512448	Active	Expressed	Gene
SUPER_GRC2	10.699331	g14637	B_coprophila	female	germ_ovaries	adult	B19	3.41944882138565	8.89374188380013	0	0	Active	Expressed	Gene
SUPER_GRC2	12.79332	g17249	B_coprophila	female	germ_ovaries	adult	B19	3.67731891487766	9.32794124598389	0	0	Active	Expressed	Gene
SUPER_GRC2	2.5918	g18509	B_coprophila	female	germ_ovaries	adult	B19	1.37395495150396	5.44955755972322	2.52476396456203e-08	3.35428065379889e-08	Active	Expressed	Gene
SUPER_GRC2	6.676064	g19121	B_coprophila	female	germ_ovaries	adult	B19	2.73899800124352	7.74800486520211	4.66293670342566e-15	7.58480394724041e-15	Active	Expressed	Gene
SUPER_GRC1	0.953603	g7428	B_coprophila	female	germ_ovaries	adult	B19	-0.0685378075268217	3.02070112490261	0.0012609507829825	0.00145468898834924	Active	Expressed	Gene
SUPER_GRC2	1.287681	g13065	B_coprophila	male	germ_testes	adult	B1	0.364776356133378	3.75031164676904	8.83074640825043e-05	0.00010563876975491	Active	Expressed	Gene
SUPER_GRC2	4.837592	g13362	B_coprophila	male	germ_testes	adult	B1	2.27428939652302	6.96553266364298	1.63580260448271e-12	2.46016297736949e-12	Active	Expressed	Gene
SUPER_GRC2	0.846278	g13363	B_coprophila	male	germ_testes	adult	B1	-0.240794727571273	2.7306564601561	0.00316041610203999	0.00359827120865268	Active	Expressed	Gene
SUPER_GRC2	3.339185	g14257	B_coprophila	male	germ_testes	adult	B1	1.7394964569242	6.06505308444982	6.59550414283672e-10	9.18250885900778e-10	Active	Expressed	Gene
SUPER_GRC2	7.150773	g14637	B_coprophila	male	germ_testes	adult	B1	2.83809940769894	7.91487092900872	1.22124532708767e-15	2.02263907214286e-15	Active	Expressed	Gene
SUPER_GRC2	1.392862	g17107	B_coprophila	male	germ_testes	adult	B1	0.478053363509496	3.94104646090257	4.05634546040146e-05	4.90181603774828e-05	Active	Expressed	Gene
SUPER_GRC2	2.851747	g17249	B_coprophila	male	germ_testes	adult	B1	1.51184650099179	5.68173812020377	6.66663557691294e-09	9.00830606281624e-09	Active	Expressed	Gene
SUPER_GRC2	1.922564	g18509	B_coprophila	male	germ_testes	adult	B1	0.943032375088229	4.72397397111646	1.15640015785345e-06	1.46278396272319e-06	Active	Expressed	Gene
SUPER_GRC2	186.31485	g19121	B_coprophila	male	germ_testes	adult	B1	7.5415988646454	15.8345813404881	0	0	Active	Expressed	Gene
SUPER_GRC1	0.857685	g7565	B_coprophila	male	germ_testes	adult	B1	-0.221478523101725	2.76318091286372	0.0028620514862312	0.00326332170712954	Active	Expressed	Gene
SUPER_GRC2	1.089143	g9343	B_coprophila	female	germ_ovaries	adult	B20	0.12319471103525	3.34353862863244	0.00041358588588447	0.00048454181857785	Active	Expressed	Gene
SUPER_GRC2	1.902443	g13059	B_coprophila	female	germ_ovaries	adult	B20	0.927853987441645	4.69841673744939	1.31093017186057e-06	1.65560482689174e-06	Active	Expressed	Gene
SUPER_GRC2	0.723607	g13065	B_coprophila	female	germ_ovaries	adult	B20	-0.46671973682245	2.35024594573846	0.00938050501321952	0.0105065621646932	Active	Expressed	Gene
SUPER_GRC2	9.725315	g14637	B_coprophila	female	germ_ovaries	adult	B20	3.28174512765423	8.6618776331658	0	0	Active	Expressed	Gene
SUPER_GRC2	10.610147	g17249	B_coprophila	female	germ_ovaries	adult	B20	3.40737287530374	8.87340851355341	0	0	Active	Expressed	Gene
SUPER_GRC2	2.57017	g18509	B_coprophila	female	germ_ovaries	adult	B20	1.36186434877518	5.4291995107453	2.83036876158604e-08	3.75515621874701e-08	Active	Expressed	Gene
SUPER_GRC2	1.822027	g19121	B_coprophila	female	germ_ovaries	adult	B20	0.865545129914253	4.59350163919031	2.17934797208663e-06	2.73404867459048e-06	Active	Expressed	Gene
SUPER_GRC1	1.458452	g7428	B_coprophila	female	germ_ovaries	adult	B20	0.544438894800042	4.05282582606373	2.53013381508183e-05	3.07701049137299e-05	Active	Expressed	Gene
SUPER_GRC2	0.733654	g9343	B_coprophila	female	germ_ovaries	adult	B21	-0.446826297212682	2.38374234182392	0.0085687982756083	0.00961160045356035	Active	Expressed	Gene
SUPER_GRC2	1.508762	g13059	B_coprophila	female	germ_ovaries	adult	B21	0.593366201770508	4.13520918891229	1.77315722488247e-05	2.16597966260091e-05	Active	Expressed	Gene
SUPER_GRC2	1.238856	g13065	B_coprophila	female	germ_ovaries	adult	B21	0.309009668271735	3.65641219541069	0.00012788498204752	0.00015224708045381	Active	Expressed	Gene
SUPER_GRC2	9.312017	g14637	B_coprophila	female	germ_ovaries	adult	B21	3.21909384695814	8.55638596583106	0	0	Active	Expressed	Gene
SUPER_GRC2	12.48001	g17249	B_coprophila	female	germ_ovaries	adult	B21	3.64154730069317	9.26770932124668	0	0	Active	Expressed	Gene
SUPER_GRC2	2.140357	g18509	B_coprophila	female	germ_ovaries	adult	B21	1.09785212449005	4.98465808354457	3.10357395116867e-07	3.99239336183562e-07	Active	Expressed	Gene
SUPER_GRC2	5.111948	g19121	B_coprophila	female	germ_ovaries	adult	B21	2.35387344312878	7.09953557110808	6.25832718981201e-13	9.53440535773254e-13	Active	Expressed	Gene
SUPER_GRC1	3.434044	g6396	B_coprophila	female	germ_ovaries	adult	B21	1.77990894465498	6.13309927064902	4.3091663570749e-10	6.03074855324604e-10	Active	Expressed	Gene
SUPER_GRC1	0.833726	g7428	B_coprophila	female	germ_ovaries	adult	B21	-0.262353037622981	2.69435677007785	0.00352623152111098	0.00400835283802577	Active	Expressed	Gene
SUPER_GRC2	1.2029	g13065	B_coprophila	female	soma_carcass	adult	B25	0.266517912101451	3.58486495556848	0.00016862633276637	0.00019997902150062	Active	Expressed	Gene
SUPER_GRC2	6.578319	g14257	B_coprophila	female	soma_carcass	adult	B25	2.71771918925939	7.71217579147578	6.21724893790088e-15	1.00727140216851e-14	Active	Expressed	Gene
SUPER_GRC2	19.483513	g14637	B_coprophila	female	soma_carcass	adult	B25	4.28418199680315	10.3497718876713	0	0	Active	Expressed	Gene
SUPER_GRC2	1.149992	g18509	B_coprophila	female	soma_carcass	adult	B25	0.201625079520936	3.4755989831744	0.0002548569258286	0.000300582138327	Active	Expressed	Gene
SUPER_GRC2	4.380293	g14257	B_coprophila	female	soma_carcass	adult	B26	2.13102770501079	6.72430990594501	8.82127704215918e-12	1.29819730091561e-11	Active	Expressed	Gene
SUPER_GRC2	15.049692	g14637	B_coprophila	female	soma_carcass	adult	B26	3.91166215251055	9.72252629822622	0	0	Active	Expressed	Gene
SUPER_GRC2	2.364826	g17249	B_coprophila	female	soma_carcass	adult	B26	1.24173464640985	5.22692618994252	8.61756308534467e-08	1.12670997488217e-07	Active	Expressed	Gene
SUPER_GRC2	1.826303	g18509	B_coprophila	female	soma_carcass	adult	B26	0.868926931142638	4.5991958859194	2.12062420346104e-06	2.66134696602167e-06	Active	Expressed	Gene
SUPER_GRC2	1.116125	g13065	B_coprophila	female	soma_carcass	adult	B27	0.158499902896647	3.40298519562439	0.00033326946017453	0.00039157608735841	Active	Expressed	Gene
SUPER_GRC2	8.435293	g14257	B_coprophila	female	soma_carcass	adult	B27	3.07643835244293	8.31618391722695	0	0	Active	Expressed	Gene
SUPER_GRC2	21.217791	g14637	B_coprophila	female	soma_carcass	adult	B27	4.40720262689921	10.5569129267883	0	0	Active	Expressed	Gene
SUPER_GRC2	2.296454	g17249	B_coprophila	female	soma_carcass	adult	B27	1.19940851362073	5.15565782527148	1.26371029640637e-07	1.64439196046742e-07	Active	Expressed	Gene
SUPER_GRC2	0.944494	g18509	B_coprophila	female	soma_carcass	adult	B27	-0.0823849356419523	2.99738545415441	0.00136153085142732	0.00156908463808687	Active	Expressed	Gene
SUPER_GRC2	5.706745	g13362	B_coprophila	male	germ_testes	adult	B2	2.51266835192355	7.36691302144764	8.72635297355373e-14	1.3641828054497e-13	Active	Expressed	Gene
SUPER_GRC2	4.179482	g14257	B_coprophila	male	germ_testes	adult	B2	2.06332449267307	6.61031184119563	1.91755500367208e-11	2.79287363670168e-11	Active	Expressed	Gene
SUPER_GRC2	8.029139	g14637	B_coprophila	male	germ_testes	adult	B2	3.00524546916484	8.19630997569007	1.11022302462516e-16	1.89095172217703e-16	Active	Expressed	Gene
SUPER_GRC2	1.310093	g17249	B_coprophila	male	germ_testes	adult	B2	0.389670329677657	3.79222789726856	7.46509013082042e-05	8.9496634631304e-05	Active	Expressed	Gene
SUPER_GRC2	1.790662	g18509	B_coprophila	male	germ_testes	adult	B2	0.840493849900175	4.55132051746075	2.66551317795738e-06	3.33572548721356e-06	Active	Expressed	Gene
SUPER_GRC2	321.854645	g19121	B_coprophila	male	germ_testes	adult	B2	8.33026548420191	17.16253115642	0	0	Active	Expressed	Gene
SUPER_GRC1	1.254442	g7565	B_coprophila	male	germ_testes	adult	B2	0.327046918347254	3.68678315612305	0.00011355335878993	0.00013539419203068	Active	Expressed	Gene
SUPER_GRC2	1.07425	g13065	B_coprophila	male	germ_testes	adult	B3	0.103331120090087	3.31009249146207	0.00046632573633975	0.00054547686850942	Active	Expressed	Gene
SUPER_GRC2	9.274282	g13362	B_coprophila	male	germ_testes	adult	B3	3.21323575048505	8.54652215526745	0	0	Active	Expressed	Gene
SUPER_GRC2	1.029143	g13363	B_coprophila	male	germ_testes	adult	B3	0.0414448612901269	3.20588896116896	0.00067322967577787	0.00078346130824689	Active	Expressed	Gene
SUPER_GRC2	0.828192	g13363	B_coprophila	male	germ_testes	adult	B3	-0.271961085982957	2.67817882399174	0.00370118430910771	0.00420424702561073	Active	Expressed	Gene
SUPER_GRC2	2.066631	g14257	B_coprophila	male	germ_testes	adult	B3	1.04728151452954	4.89950774178625	4.8038532407535e-07	6.14540434362006e-07	Active	Expressed	Gene
SUPER_GRC2	5.494127	g14637	B_coprophila	male	germ_testes	adult	B3	2.45789052213821	7.27467860049358	1.73638881051374e-13	2.68974429736382e-13	Active	Expressed	Gene
SUPER_GRC2	1.838488	g17107	B_coprophila	male	germ_testes	adult	B3	0.878520544671247	4.61534952676527	1.96217144443622e-06	2.4650780827453e-06	Active	Expressed	Gene
SUPER_GRC2	6.119616	g17249	B_coprophila	male	germ_testes	adult	B3	2.61344136378538	7.53659371952013	2.40918396343659e-14	3.83069010735614e-14	Active	Expressed	Gene
SUPER_GRC2	1.94915	g18509	B_coprophila	male	germ_testes	adult	B3	0.962845859971224	4.7573357401465	9.8082380650677e-07	1.24343446242845e-06	Active	Expressed	Gene
SUPER_GRC2	50.834015	g19121	B_coprophila	male	germ_testes	adult	B3	5.66772230628387	12.6793647140324	0	0	Active	Expressed	Gene
SUPER_GRC1	0.824604	g7565	B_coprophila	male	germ_testes	adult	B3	-0.278224885840217	2.66763189369037	0.00381939499977901	0.00433655551335804	Active	Expressed	Gene
SUPER_GRC2	4.861487	g14257	B_coprophila	male	soma_carcass	adult	B7	2.28139796026165	6.97750199982911	1.50235379692276e-12	2.26208063681326e-12	Active	Expressed	Gene
SUPER_GRC2	20.987171	g14637	B_coprophila	male	soma_carcass	adult	B7	4.39143587293014	10.5303650071581	0	0	Active	Expressed	Gene
SUPER_GRC2	8.186019	g17249	B_coprophila	male	soma_carcass	adult	B7	3.03316219156301	8.2433159037347	1.11022302462516e-16	1.89095172217703e-16	Active	Expressed	Gene
SUPER_GRC2	0.570428	g18467	B_coprophila	male	soma_carcass	adult	B7	-0.809880766168913	1.77243446690106	0.0381612323094752	0.0417642126422928	Active	Expressed	Gene
SUPER_GRC2	9.716707	g14257	B_coprophila	male	soma_carcass	adult	B8	3.28046761460071	8.65972656808684	0	0	Active	Expressed	Gene
SUPER_GRC2	25.877552	g14637	B_coprophila	male	soma_carcass	adult	B8	4.69362929638809	11.0391955967962	0	0	Active	Expressed	Gene
SUPER_GRC2	15.14652	g17249	B_coprophila	male	soma_carcass	adult	B8	3.92091455443212	9.73810541001313	0	0	Active	Expressed	Gene
SUPER_GRC2	6.230327	g14257	B_coprophila	male	soma_carcass	adult	B9	2.63930811694384	7.5801479276529	1.72084568816899e-14	2.74884270448746e-14	Active	Expressed	Gene
SUPER_GRC2	22.695724	g14637	B_coprophila	male	soma_carcass	adult	B9	4.50434866984298	10.7204865669637	0	0	Active	Expressed	Gene
SUPER_GRC2	11.508453	g17249	B_coprophila	male	soma_carcass	adult	B9	3.52462213545234	9.07083177145678	0	0	Active	Expressed	Gene
SUPER_GRC2	0.577165	g18467	B_coprophila	male	soma_carcass	adult	B9	-0.792941779597651	1.80095618132588	0.0358548933846067	0.0392848479902071	Active	Expressed	Gene
SUPER_GRC2	3.315345	g14257	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody1	1.72915944241498	6.04764771166692	7.34879490593698e-10	1.02165021567752e-09	Active	Expressed	Gene
SUPER_GRC2	6.714573	g14637	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody1	2.7472958720901	7.7619767460832	4.21884749357559e-15	6.87161907294284e-15	Active	Expressed	Gene
SUPER_GRC2	1.519453	g17249	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody1	0.603552999324555	4.15236162772661	1.64530862284407e-05	2.01169328513604e-05	Active	Expressed	Gene
SUPER_GRC2	0.837296	g18526	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody1	-0.25618863886873	2.70473632968903	0.00341793125266232	0.00388702122988873	Active	Expressed	Gene
SUPER_GRC2	1.212881	g14257	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody2	0.278439199019269	3.60493791209489	0.00015611378188396	0.00018534079762198	Active	Expressed	Gene
SUPER_GRC2	5.218536	g14637	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody2	2.38364540858138	7.14966534085152	4.34985381048136e-13	6.65874974971051e-13	Active	Expressed	Gene
SUPER_GRC2	1.632665	g17249	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody2	0.707229684085049	4.32693150431343	7.56004774049579e-06	9.335406482736e-06	Active	Expressed	Gene
SUPER_GRC2	0.67978	g18526	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody2	-0.556858056027559	2.19847184825713	0.0139577492815969	0.0155373639757106	Active	Expressed	Gene
SUPER_GRC2	10.245874	g14257	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody3	3.35697129097458	8.78854277564476	0	0	Active	Expressed	Gene
SUPER_GRC2	1.360716	g14637	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody3	0.444367048362365	3.88432574407521	5.13071284675704e-05	6.18144295775288e-05	Active	Expressed	Gene
SUPER_GRC2	1.21002	g17249	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody3	0.27503208579157	3.59920104524724	0.00015959817580546	0.00018941855709266	Active	Expressed	Gene
SUPER_GRC2	0.957689	g13059	B_coprophila	female	germ_embryo	0-4h	FE1	-0.0623693573381544	3.03108750628291	0.00121837308194395	0.00140629825604287	Active	Expressed	Gene
SUPER_GRC2	12.311097	g13065	B_coprophila	female	germ_embryo	0-4h	FE1	3.62188753327452	9.23460638031133	0	0	Active	Expressed	Gene
SUPER_GRC2	14.859362	g14637	B_coprophila	female	germ_embryo	0-4h	FE1	3.89330036578145	9.69160888559273	0	0	Active	Expressed	Gene
SUPER_GRC2	1.002278	g17249	B_coprophila	female	germ_embryo	0-4h	FE1	0.00328416111642714	3.14163431476337	0.00084003864408144	0.00097457227012097	Active	Expressed	Gene
SUPER_GRC2	1.268344	g18444	B_coprophila	female	germ_embryo	0-4h	FE1	0.342947223466061	3.71355594798744	0.00010218362919678	0.00012200582984081	Active	Expressed	Gene
SUPER_GRC2	2.605556	g18509	B_coprophila	female	germ_embryo	0-4h	FE1	1.38159181597378	5.46241644396597	2.34848315239233e-08	3.12294499756679e-08	Active	Expressed	Gene
SUPER_GRC2	4.278342	g19121	B_coprophila	female	germ_embryo	0-4h	FE1	2.09705214976858	6.66710216922675	1.30451205393456e-11	1.91019874674678e-11	Active	Expressed	Gene
SUPER_GRC1	44.216843	g6396	B_coprophila	female	germ_embryo	0-4h	FE1	5.46652415061507	12.3405890550138	0	0	Active	Expressed	Gene
